Particle,xFmax
1,1231.67
2,1129.25
3,1217.58
4,82.46
5,104.4
6,130
7,1198.54
8,1298.65
9,72.11
10,70.71
11,1323.82
12,1166.62
13,1127.7
14,1292.48
15,53.85
16,72.11
17,53.85
18,44.72
19,1190.38
20,1157.45
21,1308.63
22,78.1
23,72.11
24,64.03
25,1150
26,1100.55
27,1300.96
28,1132.25
29,1203.33
30,1398.46
31,1159.48
32,1193.69
33,1305.99
34,64.03
35,67.08
36,1159.74
37,1174.44
38,1318.67
39,1168.46
40,1234.71
41,1321.97
42,1284.72
43,1381.05
44,1148.43
45,1136
46,1124.5
47,58.31
48,50
49,1096.59
50,1177.2
51,1120.71
52,1198.71
53,2296.17
54,1217.54
55,64.03
56,1148.65
57,1517.43
58,1218.52
59,1155.25
60,1234.06
61,1123.61
62,1178.81
63,1485.7
64,1123.61
65,63.25
66,1454.96
67,1426.18
68,1204.16
69,1115.17
70,1160.39
71,1252.2
72,1188.28
73,1253.63
74,1129.25
75,1240.4
76,1162.97
77,1232.27
78,1283.16
79,1119.46
80,1236.28
81,1315.52
82,1274.4
83,1152.09
84,1257.34
85,1132.17
86,1244.23
87,1363.56
88,1260.87
89,1168.46
90,1116.47
91,1164
92,1283.16
93,1202.08
94,1260.52
95,1217.95
96,1311.37
97,1226.42
98,1288.45
99,1253.99
100,1185.33
101,1359.45
102,1204.41
103,1205.69
104,1271.42
105,1204.87
106,1141.4
107,1254.19
108,1392.91
109,76.16
110,1164
111,1156.63
112,1300.85
113,1200.17
114,1170.34
115,1177.12
116,1169.27
117,1104.22
118,1196.2
119,1225.89
120,1162.76
121,102.96
122,1215.98
123,1231.67
124,1113.06
125,58.31
126,1160.39
127,64.03
128,1140.57
129,1178.81
130,1157.32
131,1195.07
132,1228.01
133,1157.41
134,1177.2
135,1176.48
136,1428.64
137,1144.9
138,1372.95
139,1440.14
140,1219.18
141,1185.12
142,1309.24
143,1266.49
144,1119.46
145,1167.09
146,1228.01
147,1215.98
148,1347.18
149,1190.38
150,1214.33
151,1085.59
152,1126.41
153,1197.08
154,1177.84
155,1240.64
156,1178.35
157,1334.54
158,1147.26
159,1144.03
160,1198.17
161,1243.42
162,94.87
163,1467.11
164,100
165,102.96
166,1261.47
167,1173.93
168,1244.23
169,1120.04
170,1167.26
171,1162.84
172,1244.55
173,1151.09
174,1300.81
175,1224.5
176,1262.1
177,1208.3
178,1254.31
179,1149.78
180,1234.91
181,1183.43
182,1266.96
183,1208.8
184,1343.47
185,1218.28
186,1112.88
187,1114.63
188,1298.08
189,1152.61
190,1129.29
191,1219.39
192,1234.91
193,1232.4
194,98.49
195,1296.3
196,1179.87
197,1415.98
198,56.57
199,50
200,1174.56
201,1130
202,1156.94
203,1192.81
204,1121.78
205,1106.44
206,1459.86
207,1136
208,1312.29
209,1190.8
210,1154.34
211,1152.09
212,1240.85
213,1115.03
214,85.44
215,1254.95
216,1292.94
217,80.62
218,1204.2
219,1126.14
220,1362.13
221,1428.88
222,1128.05
223,117.05
224,1258.97
225,1173.46
226,1258.73
227,104.4
228,1308.74
229,1226.42
230,53.85
231,1206.73
232,1191.05
233,1155.21
234,1238.59
235,1119.87
236,1465.64
237,1098.59
238,1114.5
239,1313.09
240,1329.1
241,1328.01
242,1146.34
243,1146.3
244,1322.01
245,1243.26
246,1312.29
247,1169.7
248,1023.96
249,1189.29
250,1291.39
251,1377.86
252,1239.07
253,1245.79
